 , y 
0.5,0
0.999008173,1
1.030776504,2
1.010907649,3
0.987735306,4
0.989084195,5
1.004690223,6
1.009779351,7
0.999820719,8
0.991903916,9
0.997166412,10
1.006041009,11
1.004829599,12
0.996272242,13
0.994015617,14
1.001259819,15
1.006363656,16
1.001259819,17
0.994015617,18
0.996272242,19
1.004829599,20
1.006041009,21
0.997166412,22
0.991903916,23
0.999820719,24
1.009779351,25
1.004690223,26
0.989084195,27
0.987735306,28
1.010907649,29
1.030776504,30
0.999008173,31
0.5,32
9.92E-04,33
-0.030776504,34
-0.010907649,35
0.012264694,36
0.010915805,37
-0.004690223,38
-0.009779351,39
1.79E-04,40
0.008096084,41
0.002833588,42
-0.006041009,43
-0.004829599,44
0.003727758,45
0.005984383,46
-0.001259819,47
-0.006363656,48
-0.001259819,49
0.005984383,50
0.003727758,51
-0.004829599,52
-0.006041009,53
0.002833588,54
0.008096084,55
1.79E-04,56
-0.009779351,57
-0.004690223,58
0.010915805,59
0.012264694,60
-0.010907649,61
-0.030776504,62
9.92E-04,63
0.5,64
0.999008173,65
1.030776504,66
1.010907649,67
0.987735306,68
0.989084195,69
1.004690223,70
1.009779351,71
0.999820719,72
0.991903916,73
0.997166412,74
1.006041009,75
1.004829599,76
0.996272242,77
0.994015617,78
1.001259819,79
1.006363656,80
1.001259819,81
0.994015617,82
0.996272242,83
1.004829599,84
1.006041009,85
0.997166412,86
0.991903916,87
0.999820719,88
1.009779351,89
1.004690223,90
0.989084195,91
0.987735306,92
1.010907649,93
1.030776504,94
0.999008173,95
0.5,96
9.92E-04,97
-0.030776504,98
-0.010907649,99
0.012264694,100
0.010915805,101
-0.004690223,102
-0.009779351,103
1.79E-04,104
0.008096084,105
0.002833588,106
-0.006041009,107
-0.004829599,108
0.003727758,109
0.005984383,110
-0.001259819,111
-0.006363656,112
-0.001259819,113
0.005984383,114
0.003727758,115
-0.004829599,116
-0.006041009,117
0.002833588,118
0.008096084,119
1.79E-04,120
-0.009779351,121
-0.004690223,122
0.010915805,123
0.012264694,124
-0.010907649,125
-0.030776504,126
9.92E-04,127
0.5,128
0.999008173,129
1.030776504,130
1.010907649,131
0.987735306,132
0.989084195,133
1.004690223,134
1.009779351,135
0.999820719,136
0.991903916,137
0.997166412,138
1.006041009,139
1.004829599,140
0.996272242,141
0.994015617,142
1.001259819,143
1.006363656,144
1.001259819,145
0.994015617,146
0.996272242,147
1.004829599,148
1.006041009,149
0.997166412,150
0.991903916,151
0.999820719,152
1.009779351,153
1.004690223,154
0.989084195,155
0.987735306,156
1.010907649,157
1.030776504,158
0.999008173,159
0.5,160
9.92E-04,161
-0.030776504,162
-0.010907649,163
0.012264694,164
0.010915805,165
-0.004690223,166
-0.009779351,167
1.79E-04,168
0.008096084,169
0.002833588,170
-0.006041009,171
-0.004829599,172
0.003727758,173
0.005984383,174
-0.001259819,175
-0.006363656,176
-0.001259819,177
0.005984383,178
0.003727758,179
-0.004829599,180
-0.006041009,181
0.002833588,182
0.008096084,183
1.79E-04,184
-0.009779351,185
-0.004690223,186
0.010915805,187
0.012264694,188
-0.010907649,189
-0.030776504,190
9.92E-04,191
0.5,192
0.999008173,193
1.030776504,194
1.010907649,195
0.987735306,196
0.989084195,197
1.004690223,198
1.009779351,199
0.999820719,200
0.991903916,201
0.997166412,202
1.006041009,203
1.004829599,204
0.996272242,205
0.994015617,206
1.001259819,207
1.006363656,208
1.001259819,209
0.994015617,210
0.996272242,211
1.004829599,212
1.006041009,213
0.997166412,214
0.991903916,215
0.999820719,216
1.009779351,217
1.004690223,218
0.989084195,219
0.987735306,220
1.010907649,221
1.030776504,222
0.999008173,223
0.5,224
9.92E-04,225
-0.030776504,226
-0.010907649,227
0.012264694,228
0.010915805,229
-0.004690223,230
-0.009779351,231
1.79E-04,232
0.008096084,233
0.002833588,234
-0.006041009,235
-0.004829599,236
0.003727758,237
0.005984383,238
-0.001259819,239
-0.006363656,240
-0.001259819,241
0.005984383,242
0.003727758,243
-0.004829599,244
-0.006041009,245
0.002833588,246
0.008096084,247
1.79E-04,248
-0.009779351,249
-0.004690223,250
0.010915805,251
0.012264694,252
-0.010907649,253
-0.030776504,254
9.92E-04,255
0.5,256
0.999008173,257
1.030776504,258
1.010907649,259
0.987735306,260
0.989084195,261
1.004690223,262
1.009779351,263
0.999820719,264
0.991903916,265
0.997166412,266
1.006041009,267
1.004829599,268
0.996272242,269
0.994015617,270
1.001259819,271
1.006363656,272
1.001259819,273
